G6,PLI_create_time,solve_time,result,counter,break_type
I?B~vrw}?,4.76837158203125e-07,0.04661393165588379,True,52,None
I?B~vrw}?,2.384185791015625e-07,0.04027080535888672,True,52,None
I?B~vrw}?,7.152557373046875e-07,0.04689836502075195,True,52,None
I?B~vrw}?,4.76837158203125e-07,0.04654717445373535,True,52,None
I?B~vrw}?,2.384185791015625e-07,0.04634809494018555,True,52,None
I?B~vrw}?,2.384185791015625e-07,0.03948831558227539,True,52,None
I?B~vrw}?,2.384185791015625e-07,0.03995180130004883,True,52,None
I?B~vrw}?,2.384185791015625e-07,0.03616523742675781,True,52,None
I?B~vrw}?,0.0,0.03630185127258301,True,52,None
I?B~vrw}?,2.384185791015625e-07,0.034734249114990234,True,52,None
