G6,emparelhamento,canonical_time,solve_time,qtde_moves,resultado,max_depth
O|fIJC`CGo``?`?w_EW?|,[(14-15)-(12-13)-(10-11)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.888938903808594e-05,0.4294168949127197,2,True,0
O|fIJC`CGo``?`?w_EW?|,[(14-15)-(12-13)-(10-11)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.841255187988281e-05,0.03335404396057129,4,True,0
O|fIJC`CGo``?`?w_EW?|,[(13-14)-(12-15)-(10-11)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.316734313964844e-05,0.01924610137939453,2,True,0
O|fIJC`CGo``?`?w_EW?|,[(13-14)-(12-15)-(10-11)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],6.67572021484375e-05,0.019509315490722656,2,True,0
O|fIJC`CGo``?`?w_EW?|,[(13-14)-(11-12)-(10-15)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],7.534027099609375e-05,0.01866316795349121,2,True,0
O|fIJC`CGo``?`?w_EW?|,[(13-14)-(11-12)-(10-15)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],9.894371032714844e-05,0.028399944305419922,3,False,0
O|fIJC`CGo``?`?w_EW?|,[(14-15)-(11-12)-(9-10)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.364418029785156e-05,0.04575753211975098,5,True,0
O|fIJC`CGo``?`?w_EW?|,[(14-15)-(11-12)-(9-10)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],0.00011134147644042969,0.05917763710021973,4,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-14)-(11-15)-(9-10)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.245208740234375e-05,0.01503443717956543,1,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-14)-(11-15)-(9-10)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],7.367134094238281e-05,0.07047295570373535,17,False,0
O|fIJC`CGo``?`?w_EW?|,[(12-15)-(10-11)-(9-14)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],6.008148193359375e-05,0.014323711395263672,1,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-15)-(10-11)-(9-14)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],7.414817810058594e-05,0.03645944595336914,5,True,0
O|fIJC`CGo``?`?w_EW?|,[(11-12)-(10-15)-(9-14)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.7220458984375e-05,0.02980804443359375,4,True,0
O|fIJC`CGo``?`?w_EW?|,[(11-12)-(10-15)-(9-14)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.53131103515625e-05,0.02372455596923828,3,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-14)-(10-11)-(9-15)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.2928924560546875e-05,0.01982569694519043,2,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-14)-(10-11)-(9-15)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.1975250244140625e-05,0.08278965950012207,20,False,0
O|fIJC`CGo``?`?w_EW?|,[(12-13)-(11-15)-(9-10)-(8-14)-(6-7)-(4-5)-(2-3)-(0-1)],5.602836608886719e-05,0.032032012939453125,5,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-13)-(11-15)-(9-10)-(8-14)-(6-7)-(4-5)-(2-3)-(0-1)],5.53131103515625e-05,0.018337011337280273,2,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-13)-(10-11)-(9-15)-(8-14)-(6-7)-(4-5)-(2-3)-(0-1)],5.435943603515625e-05,0.019130468368530273,2,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-13)-(10-11)-(9-15)-(8-14)-(6-7)-(4-5)-(2-3)-(0-1)],5.14984130859375e-05,0.018046140670776367,2,True,0
