G6,emparelhamento,canonical_time,solve_time,qtde_moves,resultado,max_depth
O|fIJC`CGo``?`?w_EW?|,[(14-15)-(12-13)-(10-11)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.7220458984375e-05,0.5035557746887207,2,True,0
O|fIJC`CGo``?`?w_EW?|,[(14-15)-(12-13)-(10-11)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.245208740234375e-05,0.02902698516845703,4,True,0
O|fIJC`CGo``?`?w_EW?|,[(13-14)-(12-15)-(10-11)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.1975250244140625e-05,0.016317129135131836,2,True,0
O|fIJC`CGo``?`?w_EW?|,[(13-14)-(12-15)-(10-11)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.173683166503906e-05,0.016880035400390625,2,True,0
O|fIJC`CGo``?`?w_EW?|,[(13-14)-(11-12)-(10-15)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],8.845329284667969e-05,0.01646137237548828,2,True,0
O|fIJC`CGo``?`?w_EW?|,[(13-14)-(11-12)-(10-15)-(8-9)-(6-7)-(4-5)-(2-3)-(0-1)],5.1975250244140625e-05,0.02561783790588379,3,False,0
O|fIJC`CGo``?`?w_EW?|,[(14-15)-(11-12)-(9-10)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.5789947509765625e-05,0.04076671600341797,5,True,0
O|fIJC`CGo``?`?w_EW?|,[(14-15)-(11-12)-(9-10)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.245208740234375e-05,0.02834343910217285,4,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-14)-(11-15)-(9-10)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.340576171875e-05,0.011954545974731445,1,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-14)-(11-15)-(9-10)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.650520324707031e-05,0.07755064964294434,20,False,0
O|fIJC`CGo``?`?w_EW?|,[(12-15)-(10-11)-(9-14)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.269050598144531e-05,0.011852502822875977,1,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-15)-(10-11)-(9-14)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.6743621826171875e-05,0.03475785255432129,5,True,0
O|fIJC`CGo``?`?w_EW?|,[(11-12)-(10-15)-(9-14)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],6.079673767089844e-05,0.026507139205932617,4,True,0
O|fIJC`CGo``?`?w_EW?|,[(11-12)-(10-15)-(9-14)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.245208740234375e-05,0.021811485290527344,3,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-14)-(10-11)-(9-15)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.14984130859375e-05,0.01747608184814453,2,False,0
O|fIJC`CGo``?`?w_EW?|,[(12-14)-(10-11)-(9-15)-(8-13)-(6-7)-(4-5)-(2-3)-(0-1)],5.1975250244140625e-05,0.027301788330078125,4,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-13)-(11-15)-(9-10)-(8-14)-(6-7)-(4-5)-(2-3)-(0-1)],5.3882598876953125e-05,0.01256871223449707,1,False,0
O|fIJC`CGo``?`?w_EW?|,[(12-13)-(11-15)-(9-10)-(8-14)-(6-7)-(4-5)-(2-3)-(0-1)],5.817413330078125e-05,0.016502857208251953,2,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-13)-(10-11)-(9-15)-(8-14)-(6-7)-(4-5)-(2-3)-(0-1)],5.14984130859375e-05,0.01666116714477539,2,True,0
O|fIJC`CGo``?`?w_EW?|,[(12-13)-(10-11)-(9-15)-(8-14)-(6-7)-(4-5)-(2-3)-(0-1)],5.4836273193359375e-05,0.017019033432006836,2,True,0
